symbol,name,industry,index_memberships
CRIZAC,Crizac Limited,,
CROMPTON,Crompton Greaves Consumer Electricals Limited,Consumer Durables,NIFTY500
CROWN,Crown Lifters Limited,,
CSBBANK,CSB Bank Limited,,
CSLFINANCE,CSL Finance Limited,,
CSM,CSM Technologies Limited,,
CTE,Cambridge Technology Enterprises Limited,,
CUB,City Union Bank Limited,Financial Services,NIFTY500
CUBEXTUB,Cubex Tubings Limited,,
CUMMINSIND,Cummins India Limited,Capital Goods,NIFTY500
CUPID,Cupid Limited,,
CURAA,Cura Technologies Limited,,
CYIENT,Cyient Limited,Information Technology,NIFTY500
CYIENTDLM,Cyient DLM Limited,,
DABUR,Dabur India Limited,Fast Moving Consumer Goods,NIFTY500
DAICHI,Dai-Ichi Karkaria Limited,,
DALBHARAT,Dalmia Bharat Limited,Construction Materials,NIFTY500
DALMIASUG,Dalmia Bharat Sugar and Industries Limited,,
DAMCAPITAL,Dam Capital Advisors Limited,,
DANGEE,Dangee Dums Limited,,
DATAMATICS,Datamatics Global Services Limited,,
DATAPATTNS,Data Patterns (India) Limited,Capital Goods,NIFTY500
DAVANGERE,Davangere Sugar Company Limited,,
DBCORP,D.B.Corp Limited,,
DBL,Dilip Buildcon Limited,,
DBOL,Dhampur Bio Organics Limited,,
DBREALTY,Valor Estate Limited,,
DCAL,Dishman Carbogen Amcis Limited,,
DCBBANK,DCB Bank Limited,,
DCI,Dc Infotech And Communication Limited,,
DCMFINSERV,DCM Financial Services Limited,,
DCMNVL,DCM Nouvelle Limited,,
DCMSHRIRAM,DCM Shriram Limited,Diversified,NIFTY500
DCMSRIND,DCM Shriram Industries Limited,,
DCW,DCW Limited,,
DCXINDIA,DCX Systems Limited,,
DDEVPLSTIK,Ddev Plastiks Industries Limited,,
DECCANCE,Deccan Cements Limited,,
DECNGOLD,Deccan Gold Mines Limited,,
DEEDEV,DEE Development Engineers Limited,,
DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited,Chemicals,NIFTY500
DEEPAKNTR,Deepak Nitrite Limited,Chemicals,NIFTY500
DEEPINDS,Deep Industries Limited,,
DELHIVERY,Delhivery Limited,Services,NIFTY500
DELTACORP,Delta Corp Limited,,
DELTAMAGNT,Delta Manufacturing Limited,,
DEN,Den Networks Limited,,
DENORA,De Nora India Limited,,
DENTA,Denta Water and Infra Solutions Limited,,
DEVIT,Dev Information Technology Limited,,
DEVX,Dev Accelerator Limited,,
DEVYANI,Devyani International Limited,Consumer Services,NIFTY500
DGCONTENT,Digicontent Limited,,
DHAMPURSUG,Dhampur Sugar Mills Limited,,
DHANBANK,Dhanlaxmi Bank Limited,,
DHANUKA,Dhanuka Agritech Limited,,
DHARMAJ,Dharmaj Crop Guard Limited,,
DHRUV,Dhruv Consultancy Services Limited,,
DHUNINV,Dhunseri Investments Limited,,
DIAMINESQ,Diamines & Chemicals Limited,,
DIAMONDYD,Prataap Snacks Limited,,
DICIND,DIC India Limited,,
DIFFNKG,Diffusion Engineers Limited,,
DIGIDRIVE,Digidrive Distributors Limited,,
DIGISPICE,DiGiSPICE Technologies Limited,,
DIGITIDE,Digitide Solutions Limited,,
DIGJAMLMTD,Digjam Limited,,
DISAQ,Disa India Limited,,
DISHTV,Dish TV India Limited,,
DIVGIITTS,Divgi Torqtransfer Systems Limited,,
DIVISLAB,Divi's Laboratories Limited,Healthcare,NIFTY500
DIXON,Dixon Technologies (India) Limited,Consumer Durables,NIFTY500
DJML,DJ Mediaprint & Logistics Limited,,
DLF,DLF Limited,Realty,NIFTY500
DLINKINDIA,D-Link (India) Limited,,
DMART,Avenue Supermarts Limited,Consumer Services,NIFTY500
DMCC,DMCC SPECIALITY CHEMICALS LIMITED,,
DNAMEDIA,Diligent Media Corporation Limited,,
DODLA,Dodla Dairy Limited,,
DOLATALGO,Dolat Algotech Limited,,
DOLLAR,Dollar Industries Limited,,
DOLPHIN,Dolphin Offshore Enterprises (India) Limited,,
DOMS,DOMS Industries Limited,Fast Moving Consumer Goods,NIFTY500
DONEAR,Donear Industries Limited,,
DPABHUSHAN,D. P. Abhushan Limited,,
DRAGARWQ,Dr Agarwals Eye Hospital Limited,,
DRCSYSTEMS,DRC Systems India Limited,,
DREAMFOLKS,Dreamfolks Services Limited,,
DREDGECORP,Dredging Corporation of India Limited,,
DRREDDY,Dr. Reddy's Laboratories Limited,Healthcare,NIFTY50|NIFTY500
DSSL,Dynacons Systems & Solutions Limited,,
DTIL,Dhunseri Tea & Industries Limited,,
DUCON,Ducon Infratechnologies Limited,,
DVL,Dhunseri Ventures Limited,,
DWARKESH,Dwarikesh Sugar Industries Limited,,
DYCL,Dynamic Cables Limited,,
DYNAMATECH,Dynamatic Technologies Limited,,
DYNPRO,Dynemic Products Limited,,
EASEMYTRIP,Easy Trip Planners Limited,,
EBGNG,GNG Electronics Limited,,
ECLERX,eClerx Services Limited,Services,NIFTY500
EDELWEISS,Edelweiss Financial Services Limited,,
EFCIL,EFC (I) Limited,,
EICHERMOT,Eicher Motors Limited,Automobile and Auto Components,NIFTY50|NIFTY500
EIDPARRY,EID Parry India Limited,Fast Moving Consumer Goods,NIFTY500
EIEL,Enviro Infra Engineers Limited,,
EIHAHOTELS,EIH Associated Hotels Limited,,
EIHOTEL,EIH Limited,Consumer Services,NIFTY500
